serial,id,title,creator,description,date,place,geo,ekt_type,digital_type,europeana_type,file_type,language,keywords,an_project,color,method,collection_title,notes,registration_date,documenter,collection_slug
98,cmt_amorgos_archival_hozoviotissa_098,Ο Νικήτας Γαβαλάς-Σταχτούρης,Δημήτρης Γαβαλάς,"Νικήτας Γαβαλάς (Σταχτούρης), διαλογή ψαριών",,Αμοργός,,,,,,,"ψαράς, διαλογή ψαριών",,,,,,,Μ.Γ,hozoviotissa
99,cmt_amorgos_archival_hozoviotissa_099,Νικήτας Ψακής και Λευτέρης Γαβαλάς-Καλοταρίτισσα,Ιωάννης Ψακής,Νικήτας Ψακής και Λευτέρης Γαβαλάς ξεφορτώνουν ψάρια στην Καλοταρίτισσα,1999,Αμοργός,,,,,,,"ψαράδες, Καλοταρίτισσα",,,,,,,Μ.Γ,hozoviotissa
100,cmt_amorgos_archival_hozoviotissa_100,Γιάννης Ψακής στα Κατάπολα,Ιωάννης Ψακής,"Ιωάννης Ψακής στο καϊκι του , Κατάπολα",1994,Αμοργός,,,,,,,"ψαράς, καϊκι",,,,,,,Μ.Γ,hozoviotissa
101,cmt_amorgos_archival_hozoviotissa_101,Ο Νικήτας Ψακής,Ιωάννης Ψακής,Ο Νικήτας Ψακής στο ψάρεμα,,Αμοργός,,,,,,,"ψαράς, ψάρεμα",,,,,,,Μ.Γ,hozoviotissa
102,cmt_amorgos_archival_hozoviotissa_102,Γιάννης Θεολογίτης-Στούππης,Παρασκευώ Θεολογίτου,"Θεολογίτης Ιωάννης του Νικήτα ""Στούππης"", Καμάρι ",γ. 1980,Αμοργός,,,,,,,"ψαράς, Καμάρι",,,,,,,Μ.Γ,hozoviotissa
103,cmt_amorgos_archival_hozoviotissa_103,Γιάνης Θελογίτης-Στούππης,Παρασκευώ Θεολογίτου,"Θεολογίτης Ιωάννης του Νικήτα ""Στούππης"", Καμάρι ",γ. 1980,Αμοργός,,,,,,,"ψαράς, Καμάρι",,,,,,,Μ.Γ,hozoviotissa
104,cmt_amorgos_archival_ioannis i vekris_001,Ο Ηλίας Βεκρής ψαρεύει χταπόδια,Ιωάννης Η. Βεκρής,Ψαρεύοντας για χταπόδια στον Άγιο Παύλο. Ηλίας Βεκρής (στα δεξια).,γ. 2000,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
105,cmt_amorgos_archival_ioannis i vekris_002,"Ο Ηλίας Βεκρής και η λάντζα ""Παναγία Ακαθή""",Ιωάννης Η. Βεκρής,"Ο Ηλίας Βεκρής και η λάντζα ""Παναγία Ακαθή"" (ναυπήγηση Βλάμη)",1967,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
106,cmt_amorgos_archival_ioannis i vekris_003,Ο Ηλίας Βεκρής στη Νικουριά,Ιωάννης Η. Βεκρής,Νικουριά. Ηλίας Βεκρής στ' αριστερά,γ. 1960,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
107,cmt_amorgos_archival_ioannis i vekris_004,Ο Δημήτρης Βεκρής και ο Γιάννης Σμυρνής στη Νικουριά,Ιωάννης Η. Βεκρής,"(Δεξιά Δημήτρης Βεκρής, Αριστερά Γιάννης Σμυρνής). Νικουριά Συναγρίδα ",γ. 1980,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
108,cmt_amorgos_archival_ioannis i vekris_005,Ο Ιωάννης Βεκρής στη Νικουριά,Ιωάννης Η. Βεκρής,"Παναγία Ακαθή, Νικουριά. Δεξιά Ιωάννης Βεκρής",γ. 1960,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
109,cmt_amorgos_archival_ioannis i vekris_006,Οικογένειες Βεκρή και Πρέκα,Ιωάννης Η. Βεκρής,Οικογένεια Βεκρή και Οικογένεια Πρέκα,γ. 1975,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
110,cmt_amorgos_archival_ioannis i vekris_007,Μεταφέροντας κόσμο απ' το πλοίο,Ιωάννης Η. Βεκρής,"Δεξιά: Ηλίας Βεκρής, Αριστερά: Χρήστος Συνοδινός. Αιγιάλη. Μεταφέροντας κόσμο απ'το πλοίο",γ. 1960,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
111,cmt_amorgos_archival_ioannis i vekris_008,Μεταφέροντας κόσμο στον Άγιο Παύλο,Ιωάννης Η. Βεκρής,Μεταφέροντας κόσμο. Άγιος Παύλος,γ. 1970,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
112,cmt_amorgos_archival_ioannis i vekris_009,Ηλίας Βεκρής και Λευτέρης Βεκρής,Ιωάννης Η. Βεκρής,Από αριστερά: Ηλίας Βεκρής και Λευτέρης Βεκρής. Παναγία Ακάθη ,γ. 1975,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
113,cmt_amorgos_archival_ioannis i vekris_010,Ηλίας Βεκρής ,Ιωάννης Η. Βεκρής,Κάτω: Ηλίας Βεκρής,γ 1965,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
114,cmt_amorgos_archival_ioannis i vekris_011,Παραλία Αιγιάλης,Ιωάννης Η. Βεκρής,Παραλία Αιγιάλης,γ. 1950,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
115,cmt_amorgos_archival_ioannis i vekris_012,"Βάρκα ""Παύλος"", Άγιος Παύλος",Ιωάννης Η. Βεκρής,"Βάρκα ""Παύλος"", Άγιος Παύλος",γ. 1980,Αμοργός,,,,,,,,,,,,,,,ioannis i vekris
116,cmt_amorgos_archival_skopelitis_001,"Το καΐκι ""Χοζοβιώτισσα""",Γιάννης Σκοπελίτης,"Το καΐκι ""Χοζοβιώτισσα""",γ. 1980,Αμοργός,,,,,,,,,,,,,,,skopelitis
117,cmt_amorgos_archival_skopelitis_002,Βαρκες στα χιονισμενα καταπολα,Γιάννης Σκοπελίτης,Βαρκες στα χιονισμενα καταπολα,γ. 1980,Αμοργός,,,,,,,,,,,,,,,skopelitis
118,cmt_amorgos_archival_skopelitis_003,,Γιάννης Σκοπελίτης,,,,,,,,,,,,,,,,,,skopelitis
119,cmt_amorgos_archival_skopelitis_004,,Γιάννης Σκοπελίτης,"Ο Δημητρης Σκοπελιτης στον ""Αγιο Νικολαο"" στην Ηρακλεια",γ. 1970,,,,,,,,,,,,,,,,skopelitis
120,cmt_amorgos_archival_skopelitis_005,,Γιάννης Σκοπελίτης,Πισω μερως φωτογραφιας με σημειωμα ,γ. 1970,,,,,,,,,,,,,,,,skopelitis
121,cmt_amorgos_archival_skopelitis_006,Οπίσθια όψη φωτογραφίας,Γιάννης Σκοπελίτης,"Οπίσθια όψη φωτογραφίας με πρόχειρα σχέδια και σημειώσεις (αριθμοί, ονόματα)",γ. 1965,,,,,,,,,,,,,,,,skopelitis
122,cmt_amorgos_archival_skopelitis_007,Οπίσθια όψη κάρτας,Γιάννης Σκοπελίτης,"Οπίσθια όψη κάρτας με έντυπο σημείωμα «ΝΗΣΟΣ ΑΜΟΡΓΟΣ», και ευχετήριο σημείωμα: «Αγαπητέ Ντίνο μετά... Μήτσος, Σοφία, Γιάννης»",1965,Αμοργός,,,,,,,"κάρτα, ευχές ",,,,,,,Μ.Κ.,skopelitis
123,cmt_amorgos_archival_skopelitis_008,"Το καΐκι ""Άγιος Γεώργιος Βαλσαμίτης"" ",Γιάννης Σκοπελίτης,"Το καΐκι ""Άγιος Γεώργιος Βαλσαμίτης"" στο λιμάνι της Νάξου",γ. 1970,Νάξος,,,,,,,"καΐκι, ""Άγιος Γεώργιος Βαλσαμίτης"",  Νάξος",,,,,,,Μ.Κ.,skopelitis
124,cmt_amorgos_archival_skopelitis_009,Ο Δημήτρης Βαλσαμίτης παίζει βιολί,Γιάννης Σκοπελίτης,"Ο Δημήτρης Σκοπελίτης παίζει βιολί, Κουφονήσι",γ. 1960,Κουφονήσι,,,,,,,"Δημήτρης Σκοπελίτης,γλέντι,  βιολί, Κουφονήσι",,,,,,,Μ.Κ.,skopelitis
125,cmt_amorgos_archival_skopelitis_010,"Το καΐκι ""Χοζοβιώτισσα""",Γιάννης Σκοπελίτης,"Το καΐκι ""Χοζοβιώτισσα"" στα Κατάπολα",γ. 1970,Αμοργός,,,,,,,"καΐκι, ""Χοζοβιώτισσα"",  Κατάπολα",,,,,,,Μ.Κ.,skopelitis
126,cmt_amorgos_archival_skopelitis_011,"Το πλοίο ""Μαριάννα""",Γιάννης Σκοπελίτης,"Το πλοίο  ""Μαριάννα"" στα Κατάπολα",γ. 1980,Αμοργός,,,,,,,"πλοίο, ""Μαριάννα"", Κατάπολα",,,,,,,Μ.Κ.,skopelitis
127,cmt_amorgos_archival_skopelitis_012,"Το πλοίο ""Σποράδες""",Γιάννης Σκοπελίτης,"Το καΐκι  "" Άγιος Γεώργιος Βαλσαμίτης"" στα Κατάπολα. Πάνω στο  καΐκι διακρίνεται ιερέας που απευθύνεται σε πλήθος πιστών στην προκυμαία.",γ. 1970,Αμοργός,,,,,,,"καΐκι,  "" Άγιος Γεώργιος Βαλσαμίτης"" , Κατάπολα",,,,,,,Μ.Κ.,skopelitis
128,cmt_amorgos_archival_skopelitis_013,"Το πλοίο ""Σποράδες""",Γιάννης Σκοπελίτης,"Το πλοίο ""Σποράδες"" (μετέπειτα ""Σκοπελίτης"")",γ. 1980,,,,,,,,"πλοίο, ""Σποράδες""",,,,,,,Μ.Κ.,skopelitis
129,cmt_amorgos_archival_skopelitis_014,,Γιάννης Σκοπελίτης,,,,,,,,,,,,,,,,,Μ.Κ.,skopelitis
130,cmt_amorgos_archival_skopelitis_015,"Το πλοίο ""Σκοπελίτης"" ",Γιάννης Σκοπελίτης,"Το πλοίο ""Σκοπελίτης"" σε δρομολόγιό του στις Μικρές Κυκλάδες",γ. 1980,Κυκλάδες,,,,,,,"πλοίο, ""Σκοπελίτης"" , Μικρές Κυκλάδες",,,,,,,Μ.Κ.,skopelitis
131,cmt_amorgos_archival_skopelitis_016,"Το καΐκι ""Σκοπελίτης"" και το πλοίο ""Μαριάννα"" ",Γιάννης Σκοπελίτης,"Το καΐκι ""Σκοπελίτης"" και στο βάθος το πλοίο ""Μαριάννα"" στα Κατάπολα",γ. 1980,Αμοργός,,,,,,,"καΐκι, ""Σκοπελίτης"", πλοίο, ""Μαριάννα"", Κατάπολα",,,,,,,Μ.Κ.,skopelitis
132,cmt_amorgos_archival_skopelitis_017,"Το καΐκι  ""Δημήτριος""",Γιάννης Σκοπελίτης,"Το καΐκι  ""Δημήτριος"" στις Σπέτσες",γ. 1990,Σπέτσες,,,,,,,"καΐκι,  ""Δημήτριος"", Σπέτσες",,,,,,,Μ.Κ.,skopelitis
133,cmt_amorgos_archival_skopelitis_018,"Το πλοίο ""Μαριάννα,"" ",Γιάννης Σκοπελίτης,"Το πλοίο ""Μαριάννα,"" με τον Μιχάλη Ψακή τον ""Μουγκό"" ",γ. 1980,,,,,,,,"πλοίο,  ""Μαριάννα,"" Μιχάλης Ψακής",,,,,,,Μ.Κ.,skopelitis
134,cmt_amorgos_archival_skopelitis_019,"Το πλοίο ""Σκοπελίτης""",Γιάννης Σκοπελίτης,"Το πλοίο ""Σκοπελίτης"" στην Ηρακλειά",γ. 1980,Ηρακλειά,,,,,,,"πλοίο , ""Σκοπελίτης"", Ηρακλεία",,,,,,,Μ.Κ.,skopelitis
135,cmt_amorgos_archival_skopelitis_020,Το πλοίο «Σποράδες»,Γιάννης Σκοπελίτης,Το πλοίο «Σποράδες» εν πλω (μεταγενέστερα «Σκοπελίτης») ,,,,,,,,,"πλοίο, θάλασσα",,,,,,,Μ.Κ.,skopelitis
136,cmt_amorgos_archival_skopelitis_021,Ψάρεμα με γρι-γρι ,Γιάννης Σκοπελίτης,Ψάρεμα με γρι-γρι στο καΐκι «Πανορμίτη» στην Ίο ,γ. 1960,Ίος,,,,,,,"ψάρεμα, γρι-γρι, καΐκι, Ίος, θάλασσα, δίχτυα, ψάρια, αλιεία",,,,,,,Μ.Κ.,skopelitis
137,cmt_amorgos_archival_skopelitis_022,Ψάρεμα με γρι-γρι ,Γιάννης Σκοπελίτης,Ψάρεμα με γρι-γρι στο καΐκι «Πανορμίτη» στην Ίο ,γ. 1960,Ίος,,,,,,,"ψάρεμα, γρι-γρι, καΐκι, Ίος, θάλασσα, δίχτυα, ψάρια, αλιεία",,,,,,,Μ.Κ.,skopelitis
138,cmt_amorgos_archival_skopelitis_023,Το καΐκι «Δημήτριος» ,Γιάννης Σκοπελίτης,Το καΐκι «Δημήτριος» ,γ. 1990,Αμοργός,,,,,,,αλιεία,,,,,,,Μ.Κ.,skopelitis
139,cmt_amorgos_archival_skopelitis_024,Καΐκια στα Καταπολα,Γιάννης Σκοπελίτης,Καΐκια στα Καταπολα,γ. 1980,Αμοργός,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
140,cmt_amorgos_archival_skopelitis_025,Φόρτωμα εμπορευμάτων ,Γιάννης Σκοπελίτης,Φόρτωμα εμπορευμάτων στο λιμάνι της Νάξου,γ. 1980,Νάξος,,,,,,,"εμπορεύματα, καΐκι,θάλασσα",,,,,,,Μ.Κ.,skopelitis
141,cmt_amorgos_archival_skopelitis_026,Το καΐκι «Βαλσαμίτης»,Γιάννης Σκοπελίτης,Το καΐκι «Βαλσαμίτης»,γ. 1970,Αμοργός,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
142,cmt_amorgos_archival_skopelitis_027,Ψάρεμα με γρι-γρι ,Γιάννης Σκοπελίτης,Ψάρεμα με γρι-γρι στο καΐκι Πανορμίτη στην Ίο ,γ. 1960,Ίος,,,,,,,"ψάρεμα, γρι-γρι, καΐκι, Ίος, θάλασσα, δίχτυα, ψάρια, αλιεία",,,,,,,Μ.Κ.,skopelitis
143,cmt_amorgos_archival_skopelitis_028,Ψάρεμα με γρι-γρι ,Γιάννης Σκοπελίτης,Ψάρεμα με γρι-γρι στο καΐκι Πανορμίτη στην Ίο ,γ. 1960,Ίος,,,,,,,"ψάρεμα, γρι-γρι, καΐκι, Ίος, θάλασσα, δίχτυα, ψάρια, αλιεία",,,,,,,Μ.Κ.,skopelitis
144,cmt_amorgos_archival_skopelitis_029,Το καΐκι «Πανορμίτης»,Γιάννης Σκοπελίτης,Το καΐκι «Πανορμίτης»,,Μικρές Κυκλάδες,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
145,cmt_amorgos_archival_skopelitis_030,Το πλοίο «Σκοπελίτης» και το καΐκι «Αντώνιος Βεκρής» ,Γιάννης Σκοπελίτης,Το πλοίο «Σκοπελίτης» και το καΐκι «Αντώνιος Βεκρής» στα Κατάπολα,γ. 1980,Αμοργός,,,,,,,"καΐκι, πλοίο,θάλασσα",,,,,,,Μ.Κ.,skopelitis
146,cmt_amorgos_archival_skopelitis_031,Το καΐκι «Πανορμίτης»,Γιάννης Σκοπελίτης,Το καΐκι «Πανορμίτης» στα Κουφονήσια,γ. 1970,Κουφονήσια,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
147,cmt_amorgos_archival_skopelitis_032,Το καΐκι «Πανορμίτης»,Γιάννης Σκοπελίτης,Το καΐκι «Πανορμίτης» στην Γραμβούσα ,γ. 1960,Αμοργός,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
148,cmt_amorgos_archival_skopelitis_033,Το καΐκι «Πανορμίτης»,Γιάννης Σκοπελίτης,Το καΐκι «Πανορμίτης»,,Μικρές Κυκλάδες,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
149,cmt_amorgos_archival_skopelitis_034,Καΐκι στα Κουφονήσια,Γιάννης Σκοπελίτης,Καΐκι στα Κουφονήσια,,Κουφονήσια,,,,,,,"καΐκι, θάλασσα",,,,,,,Μ.Κ.,skopelitis
150,cmt_amorgos_archival_skopelitis_035,Το πλοίο «Σκοπελίτης» ,Γιάννης Σκοπελίτης,Το πλοίο «Σκοπελίτης» σε δρομολόγιό του στις Μικρές Κυκλάδες,γ. 1980,Μικρές Κυκλάδες,,,,,,,"πλοίο, θάλασσα, Σκοπελίτης",,,,,,,Μ.Κ.,skopelitis
